,Nome da empresa,Estado base,Segmento de atuação,Grau de maturidade,Descrição da empresa,Telefone,E-mail
157,ReSeBa,Rondônia,Agricultura e aquicultura,Operação,"A ReSeBa, Rede de Sementes da Bioeconomia, é uma startup que busca conectar pessoas que coletam sementes da biodiversidade amazônica àquelas que precisam comprá-las. O objetivo é estruturar a cadeia de fornecimento, o armazenamento e o acesso aos mercados de sementes florestais nativas da Amazônia com o intuito de viabilizar, organizar e ampliar a capacidade de fornecimento de sementes para restauração ecológica e para a agricultura regenerativa.",(69) 99209-0258,Instagram: www.instagram.com/sementes_amazonia
158,Ateliê ArtsClassDecor,Rondônia,Moda e ecodesign,Protótipo,O Ateliê ArtsClassDecor é uma empresa familiar que oferece artefatos com requinte e modernidade. O negócio é dedicado ao consumo sustentável e à responsabilidade ambiental. A empresa transforma artigos naturalmente descartados na natureza e transforma-os em peças decorativas.,(68) 99904-2956,Facebook: https://www.facebook.com/profile.php?id=100075479914064
159,Ateliê Meu Pé Palito,Rondônia,Moda e ecodesign,Protótipo,"O Ateliê Meu Pé de Palito transforma resíduos sólidos de madeira que são descartados de forma inadequada nas ruas e produz peças sob o preceito autossustentável. A empresa tem linhas de brinquedos educativos, decoração, utensílios domésticos e biojoias, todos eles feitos de madeira reaproveitada.",(68) 99964-0350,Instagram: https://www.instagram.com/meupepalito_ruthpaiva/
160,Uze Amazônida,Rondônia,Moda e ecodesign,Operação,"A Uze Amazônida nasceu do desejo real de tingir o mundo com plantas, raízes e ervas. As criações da marca são feitas à mão com design empático, afetivo e atemporal, com tingimento natural e tecendo conexões através da memória afetiva e valores emocionais em cada peça.",,Instagram: https://www.instagram.com/uzeamazonida/
161,Cooltivando Vida,Rondônia,Tecnologia da informação,Escala,"Com foco na legalização digital de produtos processados de origem animal e vegetal, proporciona maior agilidade às prefeituras e ao setor público, valorizando a cultura e mercado local.",(41) 99118-6630,http://instagram.com/cooltivandovida
162,Floresta Hub,Rondônia,Tecnologia da Informação,Protótipo,"A Floresta Hub tem o propósito de dar protagonismo aos povos da floresta na construção de um novo modelo econômico colaborativo, eficiente e sustentável. A empresa conecta iniciativas e experiências locais que subsidiam a formulação de políticas subnacionais e nacionais para alavancar a biodiversidade, biotecnologia e bioeconomia na região e o surgimento de novos investimentos para a Amazônia.",(11) 99494-2157,Instagram: www.instagram.com/floresta_hub
163,Recycle Eco Maker,Rondônia,Tecnologia da informação,MVP,Empresa de criação e formação de novas ideias e produtos ligados à inovação e tecnologia.,(68) 99207-6671,https://recycloecomaker.com.br/
164,Agranus,Roraima,Agricultura e Aquicultura,Protótipo,"A Agranus visa desenvolver tecnologias voltadas para o bem-estar do homem do campo, como a tecnologia da colheita inteligente do açaí, dispensando a escalada e os animais peçonhentos, tornando o trabalho mais seguro e produtivo devido à sua maior capacidade operacional. Através de um produto exclusivo, o Climbot, ainda em desenvolvimento, a colheita é automatizada em uma velocidade cinco vezes superior à realizada manualmente.",(95) 99143-9841,Instagram: https://www.instagram.com/composta.rr/
165,Biotech Mudas,Roraima,Agricultura e Aquicultura,Operação,"As mudas produzidas apresentam uniformidade no desenvolvimento, permitindo uniformização do plantio, sincronização da colheita (precocidade de desenvolvimento das mudas a campo, floração e frutificação) e obtenção de plantas com garantia de qualidade genética.",(95) 98120-6059,nilmacoly@hotmail.com
166,CompostaRR Fertilizantes Orgânicos,Roraima,Agricultura e Aquicultura,Ideação,A empresa tem dois principais segmentos de mercado: o de fertilizantes orgânicos e o de destinação adequada de resíduos orgânicos. Os fertilizantes orgânicos são comercializados diretamente com os produtores rurais ou com casas agropecuárias; já o serviço de destinação de resíduos orgânicos é prestado mediante contrato de prestação de serviço.,(95) 3238-1994,Instagram: https://www.instagram.com/composta.rr/
167,Roraiagro,Roraima,Agricultura e Aquicultura,Protótipo,"Além da tecnologia inovadora, a marca propõe um modelo de negócio em que a tecnologia será acessível a todos por meio de aluguel dos equipamentos. O aumento esperado para a produção e para a segurança do trabalhador justificam a adesão do Climbot pela cadeia produtiva do açaí.",(95) 99143-9841,Facebook: https://www.facebook.com/Roraiagro-101445881846292
168,SOLO Soluções Agroecológicas,Roraima,Agricultura e Aquicultura,Tração,"O negócio oferece soluções em análises agronômicas a clientes de diversos segmentos, com ênfase no agronegócio, para proporcionar melhores resultados. A SOLO realiza análises que abrangem todos os ciclos da produção agrícola, gerando informações essenciais para tomadas de decisão.",(95) 99122-2062,https://solorr.com.br/
169,Fermenta+,Roraima,Alimentos e Bebidas,Protótipo,"A empresa tem como objetivo entregar ao consumidor leveduras que são capazes de reduzir o custo de produção, eliminar ou diminuir dores do setor de cervejaria artesanal — tempo de produção e padronização durante a fermentação —, mostrando-se economicamente viável e sustentável.",(95) 99170-6779,https://solorr.com.br/
170,Picoleteria Sabores da Amazônia,Roraima,Alimentos e Bebidas,Operação,"A picoleteria produz picolés a partir de espécies nativas do estado de Roraima. Além da refrescância, o picolé oferece sabor diferenciado e propriedades nutracêuticas que estão presentes nas frutas nativas. Esses nutrientes contribuem para a saúde e o bem-estar da população.",(95) 99166-1399,anacleiagarciaribeiro2016@hotmail.com
171,Roraifrut,Roraima,Alimentos e Bebidas,Operação,"Nos últimos tempos, a marca conseguiu alcançar novas perspectivas e metas empresariais em pontos específicos, o que resultou em grandes melhorias, como aumento de vendas, fidelização de novos clientes e inclusão de novos sabores no portfólio da empresa.",(95) 9914-5630,Instagram: https://instagram.com/roraifrut?igshid=YmMyMTA2M2Y=
172,BiHomun Energy,Roraima,Bioenergia e Biocombustíveis,Protótipo,"A empresa atua no fornecimento de fonte sustentável, obtida através de rejeitos agrícolas, para a indústria.",(27) 99758-3011,Linkedin: https://www.linkedin.com/company/byhomun-energy/
173,MaisRR | Imersão na Amazônia,Roraima,Ecoturismo e Floresta,Protótipo,"Com o foco em oferecer à clientela uma experiência imersiva na Amazônia, a MaisRR proporciona hospedagens personalizadas e uma vivência inesquecível por meio do ecoturismo e etnoturismo, bem como a oportunidade de desfrutar de produtos encontrados somente na Amazônia.",(95) 99153-6979,Facebook: www.facebook.com/maisrronline
174,Rota Norte Viagens,Roraima,Ecoturismo e Floresta,Operação,"A empresa entrou no mercado a partir da união de dois profissionais com experiências vindas de diferentes áreas de formação: Turismo e Administração. Ao longo da jornada, os empresários sempre se propuseram a oferecer um serviço de alta qualidade. Além de indicar itinerários e comercializar passagens aéreas e terrestres, seguros e outros serviços de viagem, o negócio oferece orientação personalizada por entender que uma viagem pode ser a realização pessoal de sua clientela.",(95) 99166-8090,Instagram: https://instagram.com/rotanorteviagens
175,Treeback Tecnologia Ambiental,Roraima,Ecoturismo e Floresta,Operação,"Os produtos comprados através da plataforma da Treeback saem pelo mesmo preço, e o usuário recebe um acesso para acompanhar o plantio da sua árvore, geolocalização, espécie e imagem da muda plantada.",(95) 99146-6184,Linkedin: https://www.linkedin.com/company/treeback/
176,BIOLIB,Roraima,"Higiene, Perfumaria e Cosméticos",Protótipo,"Os itens produzidos pela marca são uma alternativa sustentável aos tradicionais usados no dia a dia, já que estes podem ser prejudiciais ao meio ambiente devido às formulações. Em contato com o ecossistema, os químicos têm a capacidade de alterar a oxigenação da água, poluir rios, mares e prejudicar a saúde humana, sobretudo em regiões em que não há saneamento básico adequado.",(95) 98103-4748,Instagram: https://www.instagram.com/bio.lib
177,Florr Amazônia LTDA,Roraima,"Higiene, Perfumaria e Cosméticos",Ideação,"Com uma linha de produção eficiente, limpa e consciente, a marca visa ao desenvolvimento de produtos associados aos cuidados sustentáveis, preservando a identidade amazônica.",(95) 98115-1102,florramazonia@gmail.com
178,Tatipepe Produtos de Perfumaria e de Higiene Pessoal LTDA,Roraima,"Higiene, Perfumaria e Cosméticos",Operação,"Cultural, ancestral e cosmológica da cultura indígena brasileira e da flora Amazônica, a Tatitpepe nasceu com o objetivo de promover qualidade de vida e bem-estar através de produtos provenientes da natureza.",(95) 98414-2431,Instagram: https://www.instagram.com/Tatiana.Peixoto.9843/
179,Amazônia Lean,Roraima,Logística e Mobilidade,Protótipo,"A Amazônia Lean também tem o objetivo de trabalhar a educação ambiental para que a cultura de gestão de resíduos seja disseminada pelos funcionários das empresas. Assim, o projeto é introduzido em outras corporações de forma educativa e incentiva a população a adotar os mesmos cuidados em suas residências.",(95) 99144-6432,diego.estabio@gmail.com
180,RenovaRResíduos Consultoria,Roraima,Logística e Mobilidade,Protótipo,"A empresa oferece orientação, em forma de consultoria, a fim de viabilizar o tratamento e gerenciamento de resíduos. A RenovaRResíduos trabalha em conjunto com o negócio contratante na elaboração e implementação do Plano de Gerenciamento de Resíduos Sólidos.",(21) 97937-3281,https://www.linkedin.com/company/renovarres%C3%ADduos-consultoria/
181,Animais de Pelúcia da Amazônia,Roraima,Moda e Ecodesign,Ideação,"A proposta do negócio é produzir e comercializar bichos de pelúcia inspirados na fauna amazônica, com foco em animais em perigo de extinção (como pássaros e répteis). A marca acredita que as pelúcias são um meio de transmitir emoções, cuidados e proteção para os animais.",(95) 99145-9106,Instagram: https://instagram.com/animaisdepeluciadaamazonia6
182,Jaty Galeria de Arte Amazônica,Roraima,Moda e ecodesign,Operação,"Dessa forma, o negócio contribui para 7 dos 17 Objetivos do Desenvolvimento Sustentável, que são: erradicação da pobreza; trabalho consciente e desenvolvimento econômico; redução das desigualdades; cidades e comunidades sustentáveis; consumo e produção sustentáveis; ação contra a mudança global do clima e parcerias e meios de implementação.",(95) 98100-6988,Instagram: www.instagram.com/jaty_galeria/
183,Platycetaria Santa Fé,Roraima,Moda e ecodesign,Protótipo,Seus colaboradores são preocupados em mostrar e preservar as riquezas da terra de Macunaíma e destacar a potencialidade da região Amazônica.,(95) 99136-8480,ricardo.patrol12@gmail.com
184,Urucuna,Roraima,Moda e ecodesign,Operação,"Por meio da linha de negócio Cheiros da Floresta, a Urucuna também favorece a cadeia de produção florestal não madeireira ao utilizar, na composição das velas, insumos de cooperativas agroextrativistas e artesãos tradicionais.",(11) 95056-1156,Linkedin: https://www.linkedin.com/company/urucuna/
185,Bioterra Ecologic,Roraima,Químicos e Novos Materiais,Protótipo,"A empresa adota práticas voltadas à reutilização do óleo de cozinha, principalmente com a fabricação de um sabão ecológico. A Bioterra conscientiza sobre a coleta e reaproveitamento do óleo de cozinha residual proveniente de frituras como uma alternativa para o desenvolvimento sustentável, tendo importantes contribuições, como preparar, incentivar e sensibilizar as comunidades quanto às questões ambientais relacionadas ao descarte do item, e com a realização de palestras e oficinas sobre coleta seletiva e reciclagem de materiais.",(95) 99122-7915,nonatorr@gmail.com
186,Arquia Capital,Roraima,Tecnologia da Informação,Protótipo,A Arquia Capital é a primeira plataforma de crowdfunding (investimento coletivo) focada exclusivamente na região amazônica. Seu o objetivo é captar recursos de pessoas e empresas para suprir as demandas necessárias para a alavancagem de empreendimentos voltados ao bioma. O projeto se propõe a fomentar o desenvolvimento de comunidades por meio do apoio e incentivo ao empreendedorismo.,(11) 97433-8225,Facebook: www.facebook.com/arquiainvest
187,Bitciclo Tecnologias e Serviços Sustentáveis,Roraima,Tecnologia da Informação,Protótipo,"As trocas são realizadas através de coletoras automáticas instaladas em pontos de grande circulação, que coletam de forma autônoma os recicláveis, emitindo um cupom no momento da coleta com pontos equivalentes, de acordo com o tipo de reciclável depositado.",(95) 99111-8431,Linkedin: https://www.linkedin.com/company/bitciclo/
188,LFG TECH19,Roraima,Tecnologia da Informação,Protótipo,"A empresa tem como foco o desenvolvimento de uma plataforma digital que permite fazer o georreferenciamento de propriedades, comércios e pontos turísticos da zona rural de Roraima. Com isso, há também um melhor atendimento do poder público à população residente dos interiores e das comunidades indígenas.",(95) 98416-2905,Instagram: https://www.instagram.com/iroraimaruralti/
189,OKB Eco CriptoMoeda,Roraima,Tecnologia da Informação,Protótipo,"A instituição financeira estimula a proteção ambiental através do financiamento de comunidades ribeirinhas e produtores locais, usando como crédito o CO2 (dióxido de carbono).",(91) 99339-4589,Telegram: https://t.me/okbeco
190,Roraima é Aqui,Roraima,Tecnologia da Informação,Protótipo,"A Roraima é Aqui é um portal integrado de comunicação do turismo roraimense. No site e nas redes sociais, a empresa dissemina informações sobre o turismo em Roraima. A marca também almeja expandir-se para comercializar camisetas personalizadas para os apaixonados pelo estado.",(95) 98420-5272,Twitter: www.twitter.com/roraimaeaqui
191,Zônica Shopping Loja Virtual Ecoamigável,Roraima,Tecnologia da Informação,Ideação,"A loja virtual oferece uma ampla variedade de produtos ecoamigáveis e amazônicos. Centrada na expansão de mercado da bioeconomia, a Zônica conecta empreendedores e criadores de produtos feitos de forma sustentável a potenciais clientes em todo o Brasil.",(95) 99138-8082,Instagram: https://instagram.com/zonicashopping
192,ATECK - Consultoria e Representação para piscicultura,Tocantins,Agricultura e Aquicultura,Protótipo,"A empresa tem como foco a consultoria e representação no segmento da piscicultura. Atualmente, vem moldando um atendimento personalizado que permite trabalhar com produtores a distância, reduzindo o custo com deslocamento e colocando à disposição dos piscicultores um atendimento de qualidade a apenas um clique de distância.",(63) 99960-0546,Instagram: www.instagram.com/ateckconsultoria
193,InsetoGood,Tocantins,Agricultura e Aquicultura,Operação,"Todo o dejeto da criação é recolhido para formar um composto orgânico com o propósito de adubar plantas. Assim, a marca se compromete a entregar um alimento nutritivo e seguro utilizando pouquíssima água, gerando quase nada de resíduos não reutilizáveis.",(63) 98426-3325,Instagram: https://www.instagram.com/insetogood/
194,Novaplanta Pesquisa e Produção de Mudas LTDA,Tocantins,Agricultura e Aquicultura,Tração,"Atualmente, o negócio se encontra em fase de internacionalização.",(63) 98129-1881,LinkedIn: www.linkedin.com/company/novaplantagpi
195,Piscirarucu,Tocantins,Agricultura e Aquicultura,Protótipo,"Em última instância, a Piscirarucu visa estabelecer modelos de produção mais rigorosos para alcançar certificações, promovendo o desenvolvimento da região com baixo impacto ambiental.",,piscirarucu@gmail.com
196,Carne de Jaca,Tocantins,Alimentos e Bebidas,Operação,"A Carne de Jaca é uma empresa voltada para a produção industrial, de maneira artesanal, da carne de jaca, que se transforma em base para vários alimentos. A marca é a primeira indústria da região amazônica com uma cadeia produtiva inteligente que conecta pequenos produtores, colaboradoras e chefs, que, por sua vez, levam os produtos até o cliente final.",(63) 99277-9119,Instagram: www.instagram.com/carne.dejaca
197,Curiango Brew,Tocantins,Alimentos e Bebidas,Protótipo,A Curiango também foca turistas que visitam o Tocantins em busca de produtos e vivências locais.,(63) 98102-1008,Instagram: Instagram.com/curiangobrew
198,Lanche Bem,Tocantins,Alimentos e Bebidas,Operação,"A Lanche Bem é um sistema SaaS criado para cantinas de escolas se tornarem modernas, venderem mais e auxiliarem os pais no controle da alimentação dos filhos.",(63) 98402-1534,Instagram: www.instagram.com/tiodacantina_
199,R3FAMILY,Tocantins,Alimentos e Bebidas,Protótipo,O aproveitamento de frutas para a produção de vinagre mostra-se como uma alternativa para elevar a renda familiar dos pequenos produtores rurais.,Instagram: www.instagram.com/mei_r3family,
200,GreeenEnergy Soluções Sustentáveis,Tocantins,Bioenergia e Biocombustíveis,Protótipo,"O modelo de negócio é B2B, com foco no atendimento a indústrias que geram resíduos, que querem produzir energia verde e que desejam reduzir emissões de CO2 a partir do serviço de aproveitamento sustentável de resíduos, da produção de energia verde in loco, da venda de biocombustíveis avançados e da comercialização de tecnologias verdes.",(63) 98418-6427,LinkedIn: https://www.linkedin.com/in/greenenergy-startup-8a9640195/
201,Polinorte Sustentáveis,Tocantins,Casa e Construção,Operação,"A principal atividade desenvolvida pela Polinorte Sustentáveis é transformar lixo em produtos de concreto essenciais para a construção civil, como blocos, calçadas, pilares e vigas, por exemplo. Todos os testes são realizados em laboratório credenciado para garantir a resistência e a qualidade dos produtos.",(63) 99252 2565,Instagram: www.instagram.com/polinortesustentaveis
202,063 VERTICAL,Tocantins,Ecoturismo e Floresta,Protótipo,"Com um modelo de negócio similar ao da CVC ou do Hotel Urbano, em vez de vender pacotes turísticos para resorts ou cidades famosas, a 063 VERTICAL vende as emoções das atividades radicais.",(63) 99237-5874,Instagram: www.instagram.com/063vertical
203,AraraECOS,Tocantins,Ecoturismo e Floresta,Protótipo,"Essa experiência será monetizada no modelo SaaS de modo anual (B2B, B2C, B2G): serviços ambientais para empresas que possuam demanda de conservação ambiental, com foco em ESG e ODS.",(63) 99237-3181,Instagram: https://www.instagram.com/arara_ecos
204,Creditar,Tocantins,Ecoturismo e Floresta,Protótipo,"Por meio de um sistema web e aplicativo, os clientes poderão negociar seus ativos de forma simples, rápida e transparente.",(63) 98413-9235,Instagram: https://instagram.com/consisti_br/
205,BIOTEC-TO,Tocantins,"Fármacos, Fitoterápicos e Nutracêuticos",Protótipo,"A empresa apresenta a criação de uma molécula, extraída a partir de uma planta, com a capacidade de substituir a insulina em pessoas diabéticas. De baixo custo, fácil acesso e uso simples, a proposta é substituir a seringa por uma cápsula.",LinkedIn: https://www.linkedin.com/in/robson-olivoto-02174340/,
206,AMA Cosméticos,Tocantins,"Higiene, Perfumaria e Cosméticos",Protótipo,"Ao ler o rótulo de cada produto, o cliente saberá exatamente o que está sendo utilizado.",(63) 99276-3801,falecomaama@gmail.com
207,Amazônia Biorracional,Tocantins,"Higiene, Perfumaria e Cosméticos",Ideação,"Com o intuito de disponibilizar o produto em plataformas digitais, lojas físicas e em parcerias com farmácias e lojas de pesca e camping, a expectativa é que o repelente seja acessível em zonas endêmicas, sobretudo em regiões de climas tropicais, onde os casos de contágio são mais alarmantes.",(63) 99993-3132,Instagram: www.instagram.com/amazoniabiorracional
208,Aromas do Cerrado,Tocantins,"Higiene, Perfumaria e Cosméticos",Protótipo,"Atuante nos modelos B2C e B2B, a empresa comercializa produtos de higiene pessoal e cosméticos 100% ecológicos, artesanais e com ingredientes naturais provenientes diretamente de extrativistas da Região Amazônica — como o babaçu, açaí, cacau e a castanha-do-pará.",(63) 99274-7049,aromasdocerrado.contato@gmail.com
209,Lavanda Alma,Tocantins,"Higiene, Perfumaria e Cosméticos",Operação,"A marca iniciou a produção e comercialização de uma linha de 13 banhos de ervas para trabalhar diversas energias, dores e especificidades da clientela.",(63) 99255-4263,Instagram: https://www.instagram.com/canallavandaalma/
210,PlantDerm,Tocantins,"Higiene, Perfumaria e Cosméticos",Protótipo,"O negócio também visa encontrar maneiras de mitigar o impacto ambiental gerado por esses resíduos e pelo desmatamento, propondo o reaproveitamento dessas matérias-primas na aplicação no setor de cosméticos, como, por exemplo, na produção de sabonetes antissépticos.",(63) 98429-3227,Instagram: www.instagram.com/plantderm
211,Toca do Coco,Tocantins,Logística e Mobilidade,Protótipo,"Os equipamentos são fornecidos em comodato, reduzindo significativamente o investimento inicial, gerando oportunidades para pequenos investidores e proporcionando um relacionamento profundo e de longo prazo com as pessoas que atuam na ponta da cadeia produtiva.",(63) 99298-4114,Instagram: www.instagram.com/tocadococo.to
212,Biossíntese,Tocantins,Químicos e Novos Materiais,Protótipo,"A marca almeja disponibilizar o larvicida via e-commerce, marketplace e lojas físicas especializadas por valores acessíveis.",(63) 99982-2212,Instagram: https://instagram.com/biossintesepd
213,BIO 6 Sustentável,Tocantins,Químicos e Novos Materiais,Protótipo,"O negócio se destaca pelo produto comercial 5-HMF-Bio, que inova no gerenciamento de resíduos e oferta de biocompostos sustentáveis para milhões de pessoas. Ele pode ser usado na produção de biocombustível, bioplástico, solventes, resinas, ou ainda como insumos para indústria farmacêutica, de cosméticos e fragrâncias.",(63) 98114-9676,LinkedIn: https://www.linkedin.com/company/bio-6-sustentável/
214,Biossíntech,Tocantins,Químicos e novos materiais,,"A iniciativa pretende disponibilizar o larvicida via e-commerce, marketplace e lojas físicas especializadas.",(21) 98020-6540,http://www.linkedin.com/company/aya-business-oficial/
215,Akvofluo,Tocantins,Tecnologia da Informação,Operação,"Com isso, são enviados alertas de vazamento e relatórios de consumo, evitando desperdícios por vazamentos e equipamentos danificados.",(61) 99922-3067,Instagram: www.instagram.com/akvofluo.oficial
216,BID365 - Leilões Virtuais,Tocantins,Tecnologia da Informação,Protótipo,"A BID365 - Leilões Virtuais é uma plataforma de negócios online com modelo de venda por meio de pregões, leilões e venda direta de ativos rurais e urbanos. O modelo de negócio está estruturado numa plataforma SaaS White label, onde os players de mercado, ou seja, leiloeiros, leiloeiras, produtores, criadores e outros, contratam os ambientes personalizados com a identidade visual própria para promoverem os seus negócios, nas modalidades de vendas desejadas.",(63)99212-2200,Instagram: https://www.instagram.com/bid365leilao/
217,Nanosensors,Tocantins,Tecnologia da Informação,Protótipo,"O negócio se destaca pela produção e comercialização de nanomateriais, além disso, está em desenvolvimento produto único, o NS-01, para monitoramento in loco em tempo real das condições da água nas soluções hidropônicas, piscinas de psicultura, entre outros.",(61) 99248-6945,www.nanosensors.com.br
218,Simemap,Tocantins,Tecnologia da Informação,Operação,"Os dados obtidos são apresentados em plataformas web e mobile, o que resulta em uma grande quantidade de informações para análise de qualidade de energia e uso de equipamentos. O gerenciamento inteligente de recursos traz economia, segurança e conforto à instalação ou produto.",(63) 98494-3041,LinkedIn: https://br.linkedin.com/company/simemap
